Shapes,Talent Show,Prom Jewelry,Glove Size,Style 1,Shape 1,Carat 1,Metal 1,Gold Color 1,Style 2,Shape 2,Carat 2,Metal 2,Gold Color 2,Style 3,Shape 3,Carat 3,Metal 3,Gold Color 3,Style 4,Shape 4,Carat 4,Metal 4,Gold Color 4,Personality
"Round, Cushion",Center Stage,Necklace & Earrings,Large,GIORGINA,Round,4ct,14k,White,ANGELINA,Round,2ct,Platinum,White,ARIA,Round,2ct,Platinum,White,CAMILLA,Round,2ct,Platinum,White,Classic
"Round, Cushion",Center Stage,Earrings Only,X-Small,Francesca,Cushion,2ct,18k,White,Beatrice,Round,1ct,Platinum,White,Elena,Round,2ct,14k,White,Gianna,Round,2ct,14k,White,Trendy
"Round, Cushion",Center Stage,Earrings Only,Small,Gianna,Cushion,1ct,18k,White,Francesca,Round,2ct,14k,Rose,Beatrice,Cushion,2ct,Platinum,White,Francesca,Round,2ct,Platinum,White,Trendy
"Round, Cushion",Center Stage,Earrings Only,Medium,Elena,Cushion,2ct,14k,Rose,Alessia,Cushion,2ct,18k,White,Alessia,Round,3ct,Platinum,White,Elena,Round,2ct,Platinum,White,Trendy
"Round, Cushion",Center Stage,Earrings Only,Large,Francesca,Round,2ct,18k,White,Elena,Cushion,1ct,14k,Yellow,Alessia,Round,1ct,Platinum,White,Alessia,Round,3ct,18k,White,Trendy
"Round, Cushion",Center Stage,No Jewelry,X-Small,Gianna,Round,1ct,18k,Yellow,Beatrice,Cushion,1ct,Platinum,White,Gianna,Cushion,2ct,18k,Rose,Elena,Round,1ct,14k,Yellow,Trendy
"Round, Cushion",Center Stage,No Jewelry,Small,Francesca,Round,2ct,Platinum,White,Alessia,Round,2ct,18k,Yellow,Francesca,Cushion,1ct,Platinum,White,Alessia,Cushion,1ct,18k,White,Trendy
"Round, Cushion",Center Stage,No Jewelry,Medium,Beatrice,Cushion,2ct,18k,Yellow,Beatrice,Round,1ct,14k,Rose,Gianna,Round,2ct,14k,Yellow,Alessia,Round,1ct,14k,Yellow,Trendy
"Round, Cushion",Center Stage,No Jewelry,Large,Beatrice,Cushion,2ct,14k,White,Beatrice,Cushion,1ct,18k,Rose,Alessia,Round,2ct,14k,Yellow,Francesca,Cushion,2ct,14k,Yellow,Trendy
"Round, Cushion",In Crowd,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",X-Small,Gemma,Round,2ct,14k,White,Gemma,Round,2ct,18k,White,Gemma,Round,2ct,Platinum,White,Gemma,Cushion,2ct,14k,White,Minimalistic
"Round, Cushion",In Crowd,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",Small,Gemma,Round,2ct,14k,Rose,Gemma,Round,2ct,14k,Rose,Gemma,Cushion,2ct,Platinum,White,Gemma,Cushion,2ct,14k,White,Minimalistic
"Round, Cushion",In Crowd,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",Medium,Gemma,Round,5ct,14k,Rose,Gemma,Round,3ct,Platinum,White,Gemma,Round,4ct,Platinum,White,Gemma,Cushion,3ct,Platinum,White,Minimalistic
"Round, Cushion",In Crowd,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",Large,Gemma,Round,5ct,18k,Yellow,Gemma,Round,4ct,14k,Yellow,Gemma,Cushion,4ct,18k,Rose,Gemma,Round,4ct,18k,White,Minimalistic
"Round, Cushion",In Crowd,Necklace & Earrings,X-Small,ARIA,Round,2ct,18k,Rose,GIULIA,Round,2ct,18k,Rose,GIORGINA,Round,2ct,Platinum,White,Donatella,Round,2ct,18k,Rose,Classic
"Round, Cushion",In Crowd,Necklace & Earrings,Small,CAMILLA,Round,2ct,Platinum,White,GIORGINA,Round,2ct,14k,Yellow,CAMILLA,Round,2ct,18k,Rose,GIULIA,Round,2ct,14k,Rose,Classic
"Round, Cushion",In Crowd,Necklace & Earrings,Medium,DANIELLA,Round,2ct,18k,Rose,GIULIA,Round,4ct,18k,Yellow,Donatella,Round,2ct,14k,Rose,ANGELINA,Round,1ct,Platinum,White,Classic
"Round, Cushion",In Crowd,Necklace & Earrings,Large,Bianca,Round,4ct,14k,Rose,ARIA,Round,4ct,14k,White,CAMILLA,Round,3ct,18k,Yellow,ARIA,Round,3ct,18k,White,Classic
"Round, Cushion",In Crowd,Earrings Only,X-Small,Francesca,Cushion,2ct,14k,Rose,Francesca,Round,1ct,Platinum,White,Gianna,Cushion,2ct,14k,White,Elena,Round,2ct,Platinum,White,Trendy
"Round, Cushion",In Crowd,Earrings Only,Small,Alessia,Round,2ct,18k,Rose,Elena,Cushion,1ct,Platinum,White,Alessia,Round,2ct,Platinum,White,Gianna,Cushion,1ct,Platinum,White,Trendy
"Round, Cushion",In Crowd,Earrings Only,Medium,Elena,Round,2ct,Platinum,White,Alessia,Cushion,3ct,14k,Rose,Beatrice,Cushion,3ct,14k,White,Alessia,Round,2ct,18k,Rose,Trendy
"Round, Cushion",In Crowd,Earrings Only,Large,Alessia,Round,2ct,18k,Rose,Alessia,Cushion,2ct,Platinum,White,Beatrice,Round,1ct,18k,Rose,Alessia,Round,1ct,Platinum,White,Trendy
"Round, Cushion",In Crowd,No Jewelry,X-Small,Gemma,Cushion,2ct,18k,Yellow,Gemma,Round,1ct,14k,Yellow,Gemma,Round,2ct,Platinum,White,Gemma,Round,1ct,Platinum,White,Minimalistic
"Round, Cushion",In Crowd,No Jewelry,Small,Gemma,Round,2ct,18k,Yellow,Gemma,Cushion,1ct,14k,White,Gemma,Cushion,2ct,18k,Yellow,Gemma,Cushion,2ct,18k,Yellow,Minimalistic
"Round, Cushion",In Crowd,No Jewelry,Medium,Gemma,Round,1ct,18k,Rose,Gemma,Cushion,1ct,14k,Yellow,Gemma,Cushion,1ct,14k,White,Gemma,Cushion,1ct,Platinum,White,Minimalistic
"Round, Cushion",In Crowd,No Jewelry,Large,Gemma,Round,1ct,18k,Rose,Gemma,Cushion,2ct,18k,Rose,Gemma,Round,2ct,Platinum,White,Gemma,Cushion,2ct,18k,Yellow,Minimalistic
"Round, Cushion",Not Attending,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",X-Small,Gemma,Cushion,2ct,18k,White,Gemma,Round,2ct,18k,Yellow,Gemma,Round,2ct,18k,White,Gemma,Cushion,2ct,Platinum,White,Minimalistic
"Round, Cushion",Not Attending,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",Small,Gemma,Round,2ct,14k,Yellow,Gemma,Round,2ct,18k,Rose,Gemma,Round,2ct,Platinum,White,Gemma,Round,2ct,14k,Rose,Minimalistic
"Round, Cushion",Not Attending,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",Medium,Gemma,Cushion,4ct,18k,Rose,Gemma,Round,3ct,Platinum,White,Gemma,Cushion,4ct,18k,White,Gemma,Cushion,4ct,14k,Yellow,Minimalistic
"Round, Cushion",Not Attending,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",Large,Gemma,Cushion,4ct,Platinum,White,Gemma,Round,3ct,14k,White,Gemma,Cushion,3ct,Platinum,White,Gemma,Round,4ct,Platinum,White,Minimalistic
"Round, Cushion",Not Attending,Necklace & Earrings,X-Small,Gemma,Round,2ct,14k,Rose,Gemma,Round,2ct,Platinum,White,Gemma,Round,2ct,18k,White,Gemma,Round,2ct,14k,White,Minimalistic
"Round, Cushion",Not Attending,Necklace & Earrings,Small,Gemma,Round,2ct,Platinum,White,Gemma,Round,2ct,18k,Yellow,Gemma,Round,2ct,14k,Yellow,Gemma,Round,2ct,14k,Yellow,Minimalistic
"Round, Cushion",Not Attending,Necklace & Earrings,Medium,Gemma,Round,3ct,Platinum,White,Gemma,Round,2ct,14k,Yellow,Gemma,Round,4ct,18k,White,Gemma,Round,1ct,Platinum,White,Minimalistic
"Round, Cushion",Not Attending,Necklace & Earrings,Large,Gemma,Round,4ct,18k,White,Gemma,Round,4ct,Platinum,White,Gemma,Round,2ct,18k,Yellow,Gemma,Round,1ct,18k,Rose,Minimalistic
"Round, Cushion",Not Attending,Earrings Only,X-Small,Gemma,Round,2ct,14k,Yellow,Gemma,Round,1ct,18k,Yellow,Gemma,Round,2ct,14k,White,Gemma,Cushion,2ct,Platinum,White,Minimalistic
"Round, Cushion",Not Attending,Earrings Only,Small,Gemma,Cushion,2ct,18k,White,Gemma,Round,2ct,Platinum,White,Gemma,Cushion,2ct,14k,Yellow,Gemma,Round,2ct,Platinum,White,Minimalistic
"Round, Cushion",Not Attending,Earrings Only,Medium,Gemma,Round,2ct,14k,Rose,Gemma,Cushion,2ct,Platinum,White,Gemma,Cushion,3ct,Platinum,White,Gemma,Cushion,3ct,14k,Yellow,Minimalistic
"Round, Cushion",Not Attending,Earrings Only,Large,Gemma,Cushion,3ct,14k,Rose,Gemma,Round,2ct,18k,White,Gemma,Round,3ct,Platinum,White,Gemma,Cushion,2ct,14k,Rose,Minimalistic
"Round, Cushion",Not Attending,No Jewelry,X-Small,Gemma,Round,2ct,18k,Rose,Gemma,Round,1ct,Platinum,White,Gemma,Round,2ct,18k,Yellow,Gemma,Cushion,2ct,Platinum,White,Minimalistic
"Round, Cushion",Not Attending,No Jewelry,Small,Gemma,Cushion,2ct,18k,White,Gemma,Cushion,1ct,Platinum,White,Gemma,Round,2ct,14k,Rose,Gemma,Cushion,2ct,Platinum,White,Minimalistic
"Round, Cushion",Not Attending,No Jewelry,Medium,Gemma,Cushion,2ct,Platinum,White,Gemma,Round,1ct,14k,Rose,Gemma,Round,1ct,14k,White,Gemma,Round,1ct,14k,Yellow,Minimalistic
"Round, Cushion",Not Attending,No Jewelry,Large,Gemma,Cushion,2ct,Platinum,White,Gemma,Cushion,1ct,18k,Rose,Gemma,Cushion,2ct,14k,Rose,Gemma,Cushion,1ct,18k,White,Minimalistic
"Round, Radiant",Center Stage,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",X-Small,EMILIA,Radiant,2ct,Platinum,White,EMILIA,Radiant,2ct,18k,White,CATERINA,Radiant,2ct,Platinum,White,GABRIELLA,Radiant,2ct,14k,White,Glamorous
"Round, Radiant",Center Stage,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",Small,CATERINA,Radiant,2ct,Platinum,White,MIA,Radiant,2ct,14k,Yellow,MIA,Radiant,2ct,14k,Yellow,Emma,Radiant,2ct,14k,White,Glamorous
"Round, Radiant",Center Stage,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",Medium,EMILIA,Radiant,4ct,14k,Rose,GABRIELLA,Radiant,5ct,Platinum,White,GABRIELLA,Radiant,4ct,14k,White,CATERINA,Radiant,5ct,18k,Rose,Glamorous
"Round, Radiant",Center Stage,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",Large,Emma,Radiant,3ct,18k,Rose,CATERINA,Radiant,5ct,18k,White,MIA,Radiant,4ct,18k,Yellow,Emma,Radiant,5ct,Platinum,White,Glamorous
"Round, Radiant",Center Stage,Necklace & Earrings,X-Small,ARIA,Round,2ct,14k,Rose,DANIELLA,Round,2ct,14k,Rose,DANIELLA,Round,2ct,Platinum,White,DANIELLA,Round,2ct,18k,Yellow,Classic
"Round, Radiant",Center Stage,Necklace & Earrings,Small,Arianna,Round,2ct,14k,White,DANIELLA,Round,2ct,18k,White,ARIA,Round,2ct,Platinum,White,GIULIA,Round,2ct,18k,Rose,Classic
"Round, Radiant",Center Stage,Necklace & Earrings,Medium,DANIELLA,Round,2ct,18k,White,ARIA,Round,3ct,Platinum,White,ARIA,Round,3ct,14k,White,GIULIA,Round,2ct,Platinum,White,Classic
"Round, Radiant",Center Stage,Necklace & Earrings,Large,DANIELLA,Round,1ct,Platinum,White,GIULIA,Round,4ct,14k,Yellow,Bianca,Round,3ct,14k,Yellow,Arianna,Round,4ct,14k,Yellow,Classic
"Round, Radiant",Center Stage,Earrings Only,X-Small,Alessia,Radiant,2ct,18k,Rose,Francesca,Radiant,2ct,Platinum,White,Gianna,Radiant,2ct,Platinum,White,Elena,Round,1ct,Platinum,White,Trendy
"Round, Radiant",Center Stage,Earrings Only,Small,Francesca,Radiant,2ct,18k,Yellow,Gianna,Radiant,1ct,18k,Rose,Elena,Radiant,1ct,Platinum,White,Alessia,Round,1ct,14k,Rose,Trendy
"Round, Radiant",Center Stage,Earrings Only,Medium,Beatrice,Radiant,3ct,Platinum,White,Elena,Radiant,2ct,14k,Rose,Gianna,Round,2ct,18k,White,Alessia,Radiant,2ct,14k,Rose,Trendy
"Round, Radiant",Center Stage,Earrings Only,Large,Francesca,Round,2ct,Platinum,White,Gianna,Radiant,2ct,14k,White,Francesca,Radiant,3ct,14k,White,Francesca,Radiant,2ct,18k,White,Trendy
"Round, Radiant",Center Stage,No Jewelry,X-Small,Elena,Radiant,2ct,14k,Yellow,Alessia,Radiant,1ct,14k,Yellow,Alessia,Round,2ct,14k,Rose,Francesca,Radiant,2ct,Platinum,White,Trendy
"Round, Radiant",Center Stage,No Jewelry,Small,Francesca,Radiant,2ct,Platinum,White,Francesca,Round,2ct,Platinum,White,Elena,Round,1ct,14k,Rose,Gianna,Round,2ct,Platinum,White,Trendy
"Round, Radiant",Center Stage,No Jewelry,Medium,Beatrice,Round,1ct,18k,Rose,Gianna,Round,2ct,14k,Rose,Beatrice,Radiant,2ct,14k,Rose,Francesca,Round,1ct,14k,White,Trendy
"Round, Radiant",Center Stage,No Jewelry,Large,Beatrice,Radiant,2ct,18k,Yellow,Alessia,Radiant,1ct,18k,White,Alessia,Round,2ct,Platinum,White,Gianna,Round,1ct,18k,Yellow,Trendy
"Round, Radiant",In Crowd,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",X-Small,Gemma,Radiant,2ct,18k,White,Gemma,Radiant,2ct,Platinum,White,Gemma,Radiant,2ct,14k,Rose,Gemma,Radiant,2ct,18k,Rose,Minimalistic
"Round, Radiant",In Crowd,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",Small,Gemma,Radiant,2ct,14k,Rose,Gemma,Radiant,2ct,Platinum,White,Gemma,Radiant,2ct,14k,White,Gemma,Radiant,2ct,Platinum,White,Minimalistic
"Round, Radiant",In Crowd,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",Medium,Gemma,Radiant,3ct,14k,Rose,Gemma,Radiant,3ct,Platinum,White,Gemma,Radiant,4ct,Platinum,White,Gemma,Radiant,5ct,18k,White,Minimalistic
"Round, Radiant",In Crowd,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",Large,Gemma,Radiant,4ct,14k,Rose,Gemma,Radiant,5ct,14k,Rose,Gemma,Radiant,3ct,14k,Rose,Gemma,Radiant,4ct,14k,Yellow,Minimalistic
"Round, Radiant",In Crowd,Necklace & Earrings,X-Small,CAMILLA,Round,2ct,18k,Yellow,GIORGINA,Round,2ct,Platinum,White,CAMILLA,Round,2ct,Platinum,White,Bianca,Round,2ct,Platinum,White,Classic
"Round, Radiant",In Crowd,Necklace & Earrings,Small,CAMILLA,Round,2ct,14k,White,ANGELINA,Round,2ct,Platinum,White,Donatella,Round,2ct,14k,White,GIULIA,Round,2ct,18k,Yellow,Classic
"Round, Radiant",In Crowd,Necklace & Earrings,Medium,ANGELINA,Round,4ct,18k,White,GIORGINA,Round,4ct,Platinum,White,DANIELLA,Round,3ct,14k,White,GIULIA,Round,1ct,14k,Rose,Classic
"Round, Radiant",In Crowd,Necklace & Earrings,Large,ARIA,Round,3ct,Platinum,White,ARIA,Round,3ct,14k,White,Donatella,Round,2ct,18k,White,ARIA,Round,1ct,Platinum,White,Classic
"Round, Radiant",In Crowd,Earrings Only,X-Small,Francesca,Round,2ct,Platinum,White,Beatrice,Radiant,2ct,14k,Yellow,Alessia,Radiant,1ct,14k,White,Alessia,Round,2ct,Platinum,White,Trendy
"Round, Radiant",In Crowd,Earrings Only,Small,Beatrice,Radiant,2ct,14k,Yellow,Alessia,Radiant,1ct,14k,White,Gianna,Round,2ct,Platinum,White,Beatrice,Radiant,2ct,14k,Rose,Trendy
"Round, Radiant",In Crowd,Earrings Only,Medium,Gianna,Radiant,1ct,14k,Rose,Gianna,Round,1ct,Platinum,White,Gianna,Round,1ct,18k,Rose,Gianna,Round,2ct,18k,Yellow,Trendy
"Round, Radiant",In Crowd,Earrings Only,Large,Gianna,Round,2ct,18k,Rose,Beatrice,Round,2ct,14k,White,Beatrice,Round,2ct,14k,Rose,Beatrice,Radiant,2ct,14k,Yellow,Trendy
"Round, Radiant",In Crowd,No Jewelry,X-Small,Gemma,Radiant,2ct,18k,Yellow,Gemma,Radiant,1ct,Platinum,White,Gemma,Round,2ct,18k,Rose,Gemma,Radiant,2ct,18k,Yellow,Minimalistic
"Round, Radiant",In Crowd,No Jewelry,Small,Gemma,Radiant,2ct,18k,Yellow,Gemma,Radiant,2ct,18k,Rose,Gemma,Radiant,2ct,Platinum,White,Gemma,Radiant,1ct,18k,White,Minimalistic
"Round, Radiant",In Crowd,No Jewelry,Medium,Gemma,Radiant,2ct,18k,Rose,Gemma,Round,1ct,Platinum,White,Gemma,Round,2ct,18k,White,Gemma,Radiant,2ct,18k,Yellow,Minimalistic
"Round, Radiant",In Crowd,No Jewelry,Large,Gemma,Radiant,1ct,14k,Yellow,Gemma,Radiant,1ct,Platinum,White,Gemma,Radiant,2ct,18k,Rose,Gemma,Round,1ct,Platinum,White,Minimalistic
"Round, Radiant",Not Attending,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",X-Small,Gemma,Radiant,2ct,18k,Yellow,Gemma,Radiant,2ct,Platinum,White,Gemma,Radiant,2ct,14k,Yellow,Gemma,Radiant,2ct,14k,White,Minimalistic
"Round, Radiant",Not Attending,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",Small,Gemma,Radiant,2ct,18k,Rose,Gemma,Radiant,2ct,18k,White,Gemma,Radiant,2ct,Platinum,White,Gemma,Radiant,2ct,14k,White,Minimalistic
"Round, Radiant",Not Attending,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",Medium,Gemma,Radiant,4ct,18k,Yellow,Gemma,Radiant,3ct,14k,White,Gemma,Radiant,3ct,14k,White,Gemma,Radiant,4ct,Platinum,White,Minimalistic
"Round, Radiant",Not Attending,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",Large,Gemma,Radiant,4ct,18k,White,Gemma,Radiant,3ct,Platinum,White,Gemma,Radiant,4ct,Platinum,White,Gemma,Radiant,4ct,14k,Rose,Minimalistic
"Round, Radiant",Not Attending,Necklace & Earrings,X-Small,Gemma,Round,2ct,18k,Yellow,Gemma,Round,2ct,Platinum,White,Gemma,Round,2ct,18k,Rose,Gemma,Round,2ct,14k,White,Minimalistic
"Round, Radiant",Not Attending,Necklace & Earrings,Small,Gemma,Round,2ct,Platinum,White,Gemma,Round,2ct,18k,White,Gemma,Round,2ct,18k,Rose,Gemma,Round,2ct,14k,Rose,Minimalistic
"Round, Radiant",Not Attending,Necklace & Earrings,Medium,Gemma,Round,1ct,Platinum,White,Gemma,Round,4ct,14k,Yellow,Gemma,Round,2ct,Platinum,White,Gemma,Round,2ct,18k,Yellow,Minimalistic
"Round, Radiant",Not Attending,Necklace & Earrings,Large,Gemma,Round,4ct,18k,White,Gemma,Round,2ct,18k,Rose,Gemma,Round,3ct,18k,White,Gemma,Round,2ct,Platinum,White,Minimalistic
"Round, Radiant",Not Attending,Earrings Only,X-Small,Gemma,Round,1ct,14k,White,Gemma,Radiant,1ct,Platinum,White,Gemma,Radiant,2ct,Platinum,White,Gemma,Radiant,2ct,14k,White,Minimalistic
"Round, Radiant",Not Attending,Earrings Only,Small,Gemma,Round,1ct,14k,Rose,Gemma,Round,2ct,Platinum,White,Gemma,Radiant,2ct,18k,Rose,Gemma,Radiant,2ct,Platinum,White,Minimalistic
"Round, Radiant",Not Attending,Earrings Only,Medium,Gemma,Radiant,3ct,14k,Yellow,Gemma,Round,3ct,14k,Yellow,Gemma,Radiant,2ct,14k,Rose,Gemma,Round,2ct,14k,White,Minimalistic
"Round, Radiant",Not Attending,Earrings Only,Large,Gemma,Round,3ct,Platinum,White,Gemma,Radiant,3ct,Platinum,White,Gemma,Round,2ct,18k,White,Gemma,Radiant,2ct,18k,Yellow,Minimalistic
"Round, Radiant",Not Attending,No Jewelry,X-Small,Gemma,Round,1ct,18k,Yellow,Gemma,Radiant,1ct,14k,White,Gemma,Radiant,1ct,18k,Rose,Gemma,Round,2ct,Platinum,White,Minimalistic
"Round, Radiant",Not Attending,No Jewelry,Small,Gemma,Radiant,2ct,18k,Rose,Gemma,Radiant,1ct,14k,White,Gemma,Radiant,1ct,18k,Rose,Gemma,Radiant,2ct,Platinum,White,Minimalistic
"Round, Radiant",Not Attending,No Jewelry,Medium,Gemma,Round,2ct,18k,Yellow,Gemma,Round,1ct,14k,Yellow,Gemma,Radiant,2ct,18k,White,Gemma,Round,1ct,Platinum,White,Minimalistic
"Round, Radiant",Not Attending,No Jewelry,Large,Gemma,Round,2ct,Platinum,White,Gemma,Radiant,1ct,18k,White,Gemma,Radiant,2ct,14k,Rose,Gemma,Round,1ct,18k,Rose,Minimalistic
"Round, Emerald",Center Stage,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",X-Small,CATERINA,Round,2ct,Platinum,White,CATERINA,Round,2ct,14k,White,CATERINA,Emerald,2ct,Platinum,White,CATERINA,Emerald,2ct,Platinum,White,Glamorous
"Round, Emerald",Center Stage,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",Small,Emma,Round,2ct,14k,White,MIA,Round,2ct,18k,Yellow,GABRIELLA,Emerald,2ct,Platinum,White,MIA,Round,2ct,Platinum,White,Glamorous
"Round, Emerald",Center Stage,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",Medium,GABRIELLA,Emerald,4ct,Platinum,White,MIA,Emerald,3ct,Platinum,White,MIA,Round,4ct,Platinum,White,Emma,Emerald,4ct,14k,White,Glamorous
"Round, Emerald",Center Stage,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",Large,CATERINA,Round,4ct,14k,Rose,MIA,Emerald,3ct,14k,Yellow,Emma,Round,5ct,18k,Rose,Emma,Round,5ct,Platinum,White,Glamorous
"Round, Emerald",Center Stage,Necklace & Earrings,X-Small,CAMILLA,Round,2ct,18k,Yellow,Bianca,Round,2ct,Platinum,White,Donatella,Round,2ct,14k,White,Arianna,Round,2ct,14k,Yellow,Classic
"Round, Emerald",Center Stage,Necklace & Earrings,Small,DANIELLA,Round,2ct,14k,Yellow,DANIELLA,Round,2ct,18k,White,GIULIA,Round,2ct,Platinum,White,Donatella,Round,2ct,18k,White,Classic
"Round, Emerald",Center Stage,Necklace & Earrings,Medium,ANGELINA,Round,2ct,18k,White,GIORGINA,Round,3ct,14k,White,ARIA,Round,2ct,14k,Yellow,GIORGINA,Round,4ct,14k,White,Classic
"Round, Emerald",Center Stage,Necklace & Earrings,Large,GIORGINA,Round,4ct,18k,Yellow,ANGELINA,Round,4ct,14k,White,DANIELLA,Round,2ct,14k,White,Donatella,Round,3ct,14k,Rose,Classic
"Round, Emerald",Center Stage,Earrings Only,X-Small,Alessia,Emerald,2ct,Platinum,White,Alessia,Round,1ct,18k,Rose,Elena,Round,2ct,14k,Rose,Gianna,Emerald,1ct,Platinum,White,Trendy
"Round, Emerald",Center Stage,Earrings Only,Small,Elena,Emerald,2ct,18k,Yellow,Elena,Emerald,1ct,Platinum,White,Francesca,Round,2ct,Platinum,White,Gianna,Round,2ct,18k,Yellow,Trendy
"Round, Emerald",Center Stage,Earrings Only,Medium,Elena,Emerald,3ct,14k,Rose,Beatrice,Emerald,1ct,Platinum,White,Alessia,Emerald,3ct,18k,White,Elena,Emerald,2ct,Platinum,White,Trendy
"Round, Emerald",Center Stage,Earrings Only,Large,Alessia,Round,1ct,14k,Yellow,Beatrice,Round,3ct,Platinum,White,Alessia,Round,2ct,14k,White,Alessia,Round,1ct,Platinum,White,Trendy
"Round, Emerald",Center Stage,No Jewelry,X-Small,Alessia,Emerald,1ct,Platinum,White,Beatrice,Emerald,1ct,Platinum,White,Francesca,Emerald,2ct,Platinum,White,Francesca,Emerald,2ct,14k,Rose,Trendy
"Round, Emerald",Center Stage,No Jewelry,Small,Elena,Emerald,2ct,Platinum,White,Gianna,Emerald,1ct,18k,Rose,Gianna,Emerald,2ct,Platinum,White,Elena,Emerald,2ct,14k,White,Trendy
"Round, Emerald",Center Stage,No Jewelry,Medium,Elena,Emerald,2ct,14k,Rose,Francesca,Emerald,1ct,18k,Rose,Francesca,Emerald,2ct,Platinum,White,Alessia,Emerald,1ct,Platinum,White,Trendy
"Round, Emerald",Center Stage,No Jewelry,Large,Beatrice,Emerald,2ct,14k,Rose,Beatrice,Emerald,1ct,14k,Yellow,Francesca,Emerald,2ct,18k,Rose,Gianna,Emerald,2ct,Platinum,White,Trendy
"Round, Emerald",In Crowd,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",X-Small,Gemma,Round,2ct,18k,White,Gemma,Emerald,2ct,Platinum,White,Gemma,Emerald,2ct,18k,White,Gemma,Round,2ct,Platinum,White,Minimalistic
"Round, Emerald",In Crowd,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",Small,Gemma,Emerald,2ct,14k,Rose,Gemma,Round,2ct,Platinum,White,Gemma,Round,2ct,Platinum,White,Gemma,Emerald,2ct,18k,Rose,Minimalistic
"Round, Emerald",In Crowd,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",Medium,Gemma,Round,5ct,18k,Yellow,Gemma,Round,3ct,14k,Rose,Gemma,Round,4ct,Platinum,White,Gemma,Round,4ct,Platinum,White,Minimalistic
"Round, Emerald",In Crowd,"Full Sparkle (Necklace, Earrings, Bracelet, Watch)",Large,Gemma,Emerald,3ct,14k,White,Gemma,Emerald,4ct,14k,Rose,Gemma,Emerald,4ct,14k,White,Gemma,Emerald,4ct,18k,Yellow,Minimalistic
"Round, Emerald",In Crowd,Necklace & Earrings,X-Small,ANGELINA,Round,2ct,14k,Rose,GIULIA,Round,2ct,18k,White,ANGELINA,Round,2ct,14k,Rose,ARIA,Round,2ct,Platinum,White,Classic
"Round, Emerald",In Crowd,Necklace & Earrings,Small,Donatella,Round,2ct,14k,Rose,ANGELINA,Round,2ct,Platinum,White,DANIELLA,Round,2ct,18k,Rose,ARIA,Round,2ct,18k,Rose,Classic
"Round, Emerald",In Crowd,Necklace & Earrings,Medium,CAMILLA,Round,1ct,14k,Yellow,Bianca,Round,3ct,Platinum,White,GIULIA,Round,4ct,Platinum,White,ARIA,Round,4ct,18k,Yellow,Classic
"Round, Emerald",In Crowd,Necklace & Earrings,Large,CAMILLA,Round,3ct,Platinum,White,DANIELLA,Round,4ct,18k,Rose,CAMILLA,Round,4ct,14k,White,ARIA,Round,4ct,Platinum,White,Classic
"Round, Emerald",In Crowd,Earrings Only,X-Small,Beatrice,Round,2ct,14k,Yellow,Alessia,Emerald,2ct,Platinum,White,Alessia,Emerald,2ct,Platinum,White,Francesca,Emerald,2ct,14k,Rose,Trendy
"Round, Emerald",In Crowd,Earrings Only,Small,Beatrice,Round,1ct,18k,Rose,Francesca,Emerald,1ct,14k,White,Alessia,Round,2ct,Platinum,White,Elena,Round,2ct,14k,Yellow,Trendy
"Round, Emerald",In Crowd,Earrings Only,Medium,Beatrice,Emerald,2ct,18k,White,Gianna,Emerald,1ct,14k,White,Alessia,Emerald,1ct,18k,Yellow,Gianna,Emerald,2ct,Platinum,White,Trendy
"Round, Emerald",In Crowd,Earrings Only,Large,Beatrice,Round,3ct,Platinum,White,Elena,Emerald,2ct,Platinum,White,Francesca,Round,2ct,18k,White,Beatrice,Emerald,2ct,14k,Rose,Trendy
"Round, Emerald",In Crowd,No Jewelry,X-Small,Gemma,Emerald,2ct,18k,Rose,Gemma,Emerald,1ct,14k,Rose,Gemma,Emerald,2ct,18k,Rose,Gemma,Emerald,2ct,Platinum,White,Minimalistic
